mkt , date    , ADV_ISSUES, DEC_ISSUES, UNCH_ISSUES, ADV_VOLUME, DEC_VOLUME, UNCH_VOLUME ,   NEW_HIGHS, NEW_LOWS

AMEX, 2002-02-01, 312       , 379       , 195        , 22109710  , 106050440 , 2967610     ,            ,         
AMEX, 2002-02-04, 232       , 490       , 234        , 10349520  , 153664635 , 1515910     ,            ,         
AMEX, 2002-02-05, 265       , 427       , 204        , 17146430  , 161069215 , 9091230     ,            ,         
AMEX, 2002-02-06, 231       , 432       , 248        , 14587918  , 167046070 , 1882140     ,            ,         
AMEX, 2002-02-07, 294       , 386       , 294        , 24104760  , 155345555 , 1914700     ,            ,         
AMEX, 2002-02-08, 433       , 276       , 238        , 140828610 , 9220310   , 4648070     ,            ,         
AMEX, 2002-02-11, 445       , 282       , 217        , 106188250 , 10004900  , 1614400     ,            ,         
AMEX, 2002-02-12, 299       , 406       , 200        , 15244750  , 88017460  , 2442890     ,            ,         
AMEX, 2002-02-13, 403       , 286       , 250        , 107491460 , 17239500  , 1838900     ,            ,         
AMEX, 2002-02-14, 326       , 375       , 227        , 23793080  , 124016750 , 2079570     ,            ,         
AMEX, 2002-02-15, 296       , 389       , 270        , 15057400  , 131046385 , 884900      ,            ,         
AMEX, 2002-02-19, 237       , 474       , 249        , 8203020   , 129556040 , 2195500     ,            ,         
AMEX, 2002-02-20, 400       , 311       , 264        , 178375850 , 15373610  , 1572540     ,            ,         
AMEX, 2002-02-21, 274       , 400       , 296        , 22525610  , 176082875 , 1285500     ,            ,         
AMEX, 2002-02-22, 419       , 287       , 179        , 167528600 , 17523440  , 1477300     ,            ,         
AMEX, 2002-02-25, 429       , 310       , 178        , 149427700 , 14172730  , 1969680     ,            ,         
AMEX, 2002-02-26, 380       , 325       , 241        , 24135690  , 148573855 , 1238430     ,            ,         
AMEX, 2002-02-27, 356       , 319       , 193        , 68884700  , 121055680 , 2697290     ,            ,         
AMEX, 2002-02-28, 394       , 310       , 223        , 21156780  , 149330955 , 2383000     ,            ,         
AMEX, 2002-03-01, 457       , 243       , 201        , 162402010 , 7417400   , 1784700     ,            ,         
AMEX, 2002-03-04, 463       , 279       , 178        , 195774070 , 11310410  , 2343620     ,            ,         
AMEX, 2002-03-05, 355       , 355       , 240        , 119296960 , 55265810  , 5095950     ,            ,         
AMEX, 2002-03-06, 433       , 260       , 261        , 150881370 , 13659670  , 2198600     ,            ,         
AMEX, 2002-03-07, 348       , 364       , 209        , 112781850 , 51842450  , 1617090     ,            ,         
AMEX, 2002-03-08, 395       , 311       , 180        , 139292455 , 20573900  , 3368400     ,            ,         
AMEX, 2002-03-11, 410       , 308       , 233        , 42340770  , 87976420  , 3807000     ,            ,         
AMEX, 2002-03-12, 292       , 408       , 247        , 29674300  , 123486160 , 1532700     ,            ,         
AMEX, 2002-03-13, 290       , 396       , 265        , 16310420  , 130158240 , 1111800     ,            ,         
AMEX, 2002-03-14, 320       , 337       , 241        , 24988810  , 104214220 , 3749300     ,            ,         
AMEX, 2002-03-15, 431       , 269       , 212        , 131841220 , 16495600  , 2813200     ,            ,         
AMEX, 2002-03-18, 390       , 341       , 181        , 131261940 , 19243820  , 1603500     ,            ,         
AMEX, 2002-03-19, 401       , 320       , 241        , 55283060  , 72682590  , 2831600     ,            ,         
