mkt   , date    , adv_issues, dec_issues, unch_issues, adv_volume    , dec_volume   , unch_volume  , new_highs, new_lows   

NASDAQ, 1978-01-03, 276       , 634       , 1619       , 1850          , 4611         , 2489         ,          ,            
NASDAQ, 1978-01-04, 235       , 615       , 1677       , 2368          , 4509         , 2773         ,          ,            
NASDAQ, 1978-01-05, 310       , 468       , 1749       , 2688          , 3342         , 2800         ,          ,            
NASDAQ, 1978-01-06, 173       , 839       , 1515       , 1241          , 6471         , 2438         ,          ,            
NASDAQ, 1978-01-09, 138       , 849       , 1540       , 1262          , 6174         , 2144         ,          ,            
NASDAQ, 1978-01-10, 212       , 626       , 1691       , 2164          , 7363         , 93           ,          ,            
NASDAQ, 1978-01-11, 281       , 523       , 1712       , 2117          , 3244         , 2799         ,          ,            
NASDAQ, 1978-01-12, 497       , 301       , 1727       , 4406          , 1634         , 2550         ,          ,            
NASDAQ, 1978-01-13, 428       , 243       , 1855       , 2772          , 1297         , 2811         ,          ,            
NASDAQ, 1978-01-16, 256       , 441       , 1820       , 1748          , 2971         , 2411         ,          ,            
NASDAQ, 1978-01-17, 492       , 257       , 1778       , 3651          , 1412         , 2237         ,          ,            
NASDAQ, 1978-01-18, 519       , 215       , 1793       , 4272          , 1688         , 2540         ,          ,            
NASDAQ, 1978-01-19, 424       , 253       , 1850       , 2556          , 1537         , 2867         ,          ,            
NASDAQ, 1978-01-20, 278       , 324       , 1925       , 1835          , 1465         , 2480         ,          ,            
NASDAQ, 1978-01-23, 521       , 416       , 1589       , 2339          , 2247         , 2404         ,          ,            
NASDAQ, 1978-01-24, 420       , 272       , 1834       , 2544          , 1506         , 3210         ,          ,            
NASDAQ, 1978-01-25, 432       , 246       , 1850       , 3017          , 1288         , 2995         ,          ,            
NASDAQ, 1978-01-26, 313       , 455       , 1755       , 1864          , 3064         , 2462         ,          ,            
NASDAQ, 1978-01-27, 320       , 331       , 1874       , 2494          , 1777         , 2489         ,          ,            
NASDAQ, 1978-01-30, 487       , 215       , 1827       , 3531          , 1202         , 2467         ,          ,            
